order,partitions,mf_type,margin_percent,train_RMSE,train_MAE,train_MAPE,test_RMSE,test_MAE,test_MAPE,execution_time
4,9,gaussian,0.1,870.3856721474509,827.7795698924731,2277.7513142202924,818.8767082615877,725.5916666666668,679.4734844898169,0.050965309143066406
2,9,trapezoidal,0.1,340.15588496401193,266.918085106383,574.997988775523,821.024468665915,505.26388888888897,176.09880375181604,0.014869451522827148
3,11,trapezoidal,0.1,227.28500703043463,172.636460865338,219.20843360122782,822.6897038299912,546.9765151515152,128.13400714884145,0.04133129119873047
4,15,trapezoidal,0.1,383.09205758530976,358.4832258064516,1060.0483336543964,826.4498917659799,612.34,314.49472651364994,0.022441864013671875
1,5,trapezoidal,0.1,1020.5936012996343,990.4901587301587,2556.059862502625,827.8077333133182,751.8766666666669,768.512988510548,0.025278568267822266
2,5,trapezoidal,0.1,1018.3652247534939,986.2270212765957,2556.8852500260186,832.8521915282049,760.4150000000003,769.4966674660011,0.007840633392333984
3,15,trapezoidal,0.1,384.1800091228404,360.6177540106952,1060.0929667646658,838.4889416086536,656.015,322.26389761941,0.02753901481628418
2,11,gaussian,0.1,552.9463359518294,529.9802127659575,1433.3712900158712,843.9106133550719,682.4300000000002,429.0138912730062,0.02826213836669922
2,11,triangular,0.1,552.9463359518294,529.9802127659575,1433.3712900158712,843.9106133550719,682.4300000000002,429.0138912730062,0.010243654251098633
2,11,bell,0.1,552.9463359518294,529.9802127659575,1433.3712900158712,843.9106133550719,682.4300000000002,429.0138912730062,0.03315234184265137
5,15,triangular,0.1,203.96145316794153,188.7383783783784,489.1961438484461,858.2740141314623,499.5416666666667,151.4316384619254,0.06085395812988281
5,15,gaussian,0.1,203.96145316794153,188.7383783783784,489.1961438484461,858.2740141314623,499.5416666666667,151.4316384619254,0.1903088092803955
5,15,bell,0.1,203.96145316794153,188.7383783783784,489.1961438484461,858.2740141314623,499.5416666666667,151.4316384619254,0.23108601570129395
5,15,trapezoidal,0.1,381.836956120619,356.23935135135144,1060.004752402139,865.7726332011193,597.1833333333333,307.5357229698014,0.06766128540039062
2,9,triangular,0.1,906.0128343226971,871.7968085106386,2275.4494622713955,868.776072030839,775.2833333333334,684.739878068702,0.014570236206054688
2,9,bell,0.1,906.0128343226971,871.7968085106386,2275.4494622713955,868.776072030839,775.2833333333334,684.739878068702,0.02706766128540039
2,9,gaussian,0.1,906.0128343226971,871.7968085106386,2275.4494622713955,868.776072030839,775.2833333333334,684.739878068702,0.03735017776489258
4,15,triangular,0.1,201.84582480013634,185.72795698924736,487.33356590024135,900.9740303323584,519.8000000000001,149.265731142078,0.0577542781829834
4,15,gaussian,0.1,201.84582480013634,185.72795698924736,487.33356590024135,900.9740303323584,519.8000000000001,149.265731142078,0.060633182525634766
4,15,bell,0.1,201.84582480013634,185.72795698924736,487.33356590024135,900.9740303323584,519.8000000000001,149.265731142078,0.06754302978515625
3,15,triangular,0.1,201.28429464994852,185.1743315508022,486.22918338252725,901.0437077818887,546.0250000000001,148.35431233499955,0.035721778869628906
3,15,bell,0.1,201.28429464994852,185.1743315508022,486.22918338252725,901.0437077818887,546.0250000000001,148.35431233499955,0.05408287048339844
3,15,gaussian,0.1,201.28429464994852,185.1743315508022,486.22918338252725,901.0437077818887,546.0250000000001,148.35431233499955,0.04878973960876465
5,13,trapezoidal,0.1,563.6964216830964,535.4439085239086,1520.5679542628118,904.2738964401425,653.5692307692308,440.46610636957365,0.044118404388427734
5,7,trapezoidal,0.1,487.1430324391945,468.15027027027037,1277.3041983455705,933.5246131374007,691.25,386.67069309201185,0.015356779098510742
3,7,trapezoidal,0.1,497.8493550471424,479.3390374331551,1276.5481448163541,940.0392562724887,720.3833333333333,389.2264305761534,0.010985612869262695
4,5,bell,0.1,473.42308455465854,393.60752688172056,885.8047347788429,947.5288825852926,750.6,315.43768604179843,0.04468870162963867
4,5,triangular,0.1,473.42308455465854,393.60752688172056,885.8047347788429,947.5288825852926,750.6,315.43768604179843,0.00987696647644043
4,5,gaussian,0.1,473.42308455465854,393.60752688172056,885.8047347788429,947.5288825852926,750.6,315.43768604179843,0.025412797927856445
4,13,trapezoidal,0.1,565.5008880705691,538.0768403639372,1520.363487897688,951.0325934824093,680.2,446.7387863936124,0.018612384796142578
5,9,triangular,0.1,865.7103957428822,823.1081081081082,2278.2940329970147,953.1264361737814,812.3416666666668,678.2632509111727,0.025064468383789062
5,9,bell,0.1,865.7103957428822,823.1081081081082,2278.2940329970147,953.1264361737814,812.3416666666668,678.2632509111727,0.04910898208618164
5,9,gaussian,0.1,865.7103957428822,823.1081081081082,2278.2940329970147,953.1264361737814,812.3416666666668,678.2632509111727,0.045301198959350586
3,9,gaussian,0.1,882.2082373893634,845.336898395722,2277.865268107549,958.2328022632774,860.8166666666667,686.1345567889874,0.036391258239746094
3,9,triangular,0.1,882.2082373893634,845.336898395722,2277.865268107549,958.2328022632774,860.8166666666667,686.1345567889874,0.012767314910888672
3,9,bell,0.1,882.2082373893634,845.336898395722,2277.865268107549,958.2328022632774,860.8166666666667,686.1345567889874,0.05292391777038574
3,5,trapezoidal,0.1,1009.464906298445,975.3621390374332,2560.211130411959,964.7793008420806,885.1766666666668,773.1992301200147,0.013978242874145508
5,5,trapezoidal,0.1,990.6542909847444,952.7599999999999,2559.726545058323,982.7423711906055,871.5316666666669,771.1688230909847,0.013863086700439453
4,5,trapezoidal,0.1,1004.4205974215838,970.0432258064515,2560.6311747806562,1007.1671250260971,903.9183333333336,773.7894908113522,0.011658191680908203
3,13,trapezoidal,0.1,567.1671419950499,540.6976552858907,1520.3025497128733,1012.3162563448046,752.2916666666666,454.9923455341158,0.04224109649658203
5,5,gaussian,0.1,464.1081786755256,390.4681081081082,889.6439308500122,1029.3805143547906,792.1416666666668,328.1588106963204,0.0373384952545166
5,5,bell,0.1,464.1081786755256,390.4681081081082,889.6439308500122,1029.3805143547906,792.1416666666668,328.1588106963204,0.030539274215698242
5,5,triangular,0.1,464.1081786755256,390.4681081081082,889.6439308500122,1029.3805143547906,792.1416666666668,328.1588106963204,0.011176824569702148
3,7,gaussian,0.1,729.7576123852525,702.5411764705883,1811.270192796918,1032.1071859711728,811.7083333333334,543.5517300519928,0.02535104751586914
3,7,bell,0.1,729.7576123852525,702.5411764705883,1811.270192796918,1032.1071859711728,811.7083333333334,543.5517300519928,0.02882099151611328
3,7,triangular,0.1,729.7576123852525,702.5411764705883,1811.270192796918,1032.1071859711728,811.7083333333334,543.5517300519928,0.01034688949584961
